seq_orgao;cod_municipio;cod_orgao;seq_unidade;cod_unidade;cod_subunidade;num_anoexercicio;num_mesexercicio;dsc_funcao;dsc_subfuncao;dsc_programa;dsc_acao;dsc_subacao;dsc_naturezadespesa;dsc_fonterecurso;dsc_cod_orcamentario;vlr_previsto;vlr_acrescimo;vlr_deducao;vlr_empenhado;vlr_liquidado;vlr_pago;vlr_rspprocessado;vlr_rspnprocessado
2169;3171303;02;261159;2004;1;2018;8;12 - EDUCAÇÃO;365 - EDUCAÇÃO INFANTIL;0001 - APOIO ADMINISTRATIVO;2040 - MANUT DOS BENSSERV DO ENSINO INFANTIL;;3.3.90.30.24 - MATERIAL PARA MANUTENÇÃO DE BENS IMÓVEIS;101 - RECEITAS DE IMPOSTOS E DE TRANSFERÊNCIAS DE IMPOSTOS VINCULADOS À EDUCAÇÃO;NÃO INFORMADO;0;0;0;442.1;0;0;0;442.1
2169;3171303;02;261169;2004;2;2018;11;12 - EDUCAÇÃO;361 - ENSINO FUNDAMENTAL;0016 - ATENDIMENTO E DESENVOLVIMENTO ENSINO FUNDAMENTAL;2090 - MANUT DAS ATIVIDADES DO ENSINO FUNDAMENTAL  QESE;;3.3.90.39.64 - SERVIÇOS BANCÁRIOS;147 - TRANSFERÊNCIA DO SALÁRIO-EDUCAÇÃO;NÃO INFORMADO;0;0;0;38.04;38.04;38.04;0;0
2169;3171303;02;261156;2007;2;2018;6;08 - ASSISTÊNCIA SOCIAL;244 - ASSISTÊNCIA COMUNITÁRIA;0027 - ASSISTIR AS CRIANCAS E ADOLESCENTES DO MUNICIPIO;2158 - MANUTENCAO DO PROGRAMA BPC ESCOLA;;3.3.90.39.64 - SERVIÇOS BANCÁRIOS;129 - TRANSFERÊNCIAS DE RECURSOS DO FUNDO NACIONAL DE ASSISTÊNCIA SOCIAL (FNAS);NÃO INFORMADO;0;0;0;100;6.06;6.06;0;93.94
2169;3171303;02;261142;2007;4;2018;4;08 - ASSISTÊNCIA SOCIAL;334 - FOMENTO AO TRABALHO;0018 - FOMENTO AO TRABALHO;2189 - MANUT SETOR DE INCLUSAO PRODUTIVA;;3.3.90.30.00 - MATERIAL DE CONSUMO;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;4500;0;0;0;0;0
2169;3171303;02;261119;2012;-9;2018;4;04 - ADMINISTRAÇÃO;122 - ADMINISTRAÇÃO GERAL;0001 - APOIO ADMINISTRATIVO;2022 - MANUT DAS ATIVIDADES DA SEC DE FAZENDA  PESSOAL;;3.1.91.13.02 - CONTRIBUIÇÃO PATRONAL PARA O RPPS (EXCETO A INCIDENTE SOBRE O FUNDEB);100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;9698.73;9698.73;9718.39;-19.66;0
2169;3171303;02;261151;2014;1;2018;1;06 - SEGURANÇA PÚBLICA;182 - DEFESA CIVIL;0001 - APOIO ADMINISTRATIVO;2179 - MANUT BENSSERV DO DEPTO DE DEFESA CIVIL;;3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;2000;0;0;0;0;0;0;0
2172;3171303;05;261145;5001;2;2018;2;09 - PREVIDÊNCIA SOCIAL;122 - ADMINISTRAÇÃO GERAL;0403 - GESTAO ADMINISTRATIVA DO FUNDO PREVIDENCIARIO;8008 - MANUTENCAO DAS ATIVIDADES ADMINISTRATIVAS  FP;;3.3.90.35.02 - CONSULTORIA E ASSESSORIA JURÍDICA;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;0;2469.66;1234.83;1234.83;-2469.66
2169;3171303;02;261108;2005;-9;2018;10;15 - URBANISMO;122 - ADMINISTRAÇÃO GERAL;0001 - APOIO ADMINISTRATIVO;2043 - MANUT DOS BENSSERV DA SECRETARIA DE OBRAS;;3.3.90.30.99 - OUTROS MATERIAIS DE CONSUMO;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;10000;10156;2899.48;7256.52;-156
2172;3171303;05;261155;5001;1;2018;1;09 - PREVIDÊNCIA SOCIAL;122 - ADMINISTRAÇÃO GERAL;0402 - GESTAO ADMINISTRATIVA DO FUNDO FINANCEIRO;8002 - PAGAMENTOS DE PESSOAL E ENCARGOS  FF;;3.3.91.47.00 - OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;10000;0;0;10000;749.63;749.63;0;9250.37
2172;3171303;05;261145;5001;2;2018;7;09 - PREVIDÊNCIA SOCIAL;122 - ADMINISTRAÇÃO GERAL;0000 - ENCARGOS ESPECIAIS;0511 - SENTENCAS JUDICIAIS  FP;;3.1.90.91.01 - SENTENÇAS JUDICIAIS DE PESSOAL ATIVO;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;500;500;500;0;0
2168;3171303;01;261137;1002;-9;2018;9;01 - LEGISLATIVA;031 - AÇÃO LEGISLATIVA;0101 - PROCESSO LEGISLATIVO;4013 - MANUTENCAO DAS ATIVIDADES DA CAMARA;;3.3.90.39.44 - SERVIÇOS DE ÁUDIO, VÍDEO E FOTO;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;23589.92;6117.21;5843.23;273.98;17472.71
2169;3171303;02;261147;2003;1;2018;4;10 - SAÚDE;122 - ADMINISTRAÇÃO GERAL;0001 - APOIO ADMINISTRATIVO;2037 - MANUT DOS BENSSERV DA SECRETARIA DE SAUDE;;3.3.90.14.05 - DIÁRIAS DE DEMAIS SERVIDORES;102 - RECEITAS DE IMPOSTOS E DE TRANSFERÊNCIAS DE IMPOSTOS VINCULADOS À SAÚDE;NÃO INFORMADO;0;0;0;944.96;944.96;4737.23;-3792.27;0
2169;3171303;02;261156;2007;2;2018;6;08 - ASSISTÊNCIA SOCIAL;244 - ASSISTÊNCIA COMUNITÁRIA;0025 - ASSISTIR AS FAMILIAS CARENTES DE VICOSA;2121 - AUXILIO PESSOA FISICA P ACESSO MUNDO DO TRABALHO;;3.3.90.48.00 - OUTROS AUXÍLIOS FINANCEIROS A PESSOAS FÍSICAS;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;20511;20511;17649;2862;0
2169;3171303;02;261142;2007;4;2018;9;08 - ASSISTÊNCIA SOCIAL;244 - ASSISTÊNCIA COMUNITÁRIA;0025 - ASSISTIR AS FAMILIAS CARENTES DE VICOSA;2162 - PROGRAMA JOVEM DE FUTURO;;3.3.90.48.00 - OUTROS AUXÍLIOS FINANCEIROS A PESSOAS FÍSICAS;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;1000;0;0;0;0;0
